Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Italian(it),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Turkish(tr)
"Dialog.Cengiz_2_2_3",5193042513920,"那这边的嘴呢？","WHAT ABOUT THE MOUTHS ON THIS WAY?","ET CELLES DE CE CÔTÉ-CI ?","UND WAS IST MIT DENEN HIER?","E LE BOCCHE DA QUESTO LATO?","こっちの口はどうなんだ？","그럼 이쪽에 있는 입들은 어쩌고?","A CO Z TYM KIERUNKIEM, Z TYMI MORDAMI?","E AS BOCAS DESTE LADO?","А ЧТО НАСЧЁТ МОРД С ЭТОЙ СТОРОНЫ?","¿Y LAS DE ESTE LADO?","PEKİ BU TARAFTAKİ AĞIZLAR?"
"Dialog.Hulagu_2_2_4",5311321886720,"也许下辈子吧，孩子…继续走。","MAYBE IN ANOTHER LIFE SON… LET’S KEEP UP.","PEUT-ÊTRE DANS UNE AUTRE VIE, MON GARÇON… CONTINUONS.","VIELLEICHT IN EINEM ANDEREN LEBEN, JUNGE… WEITER GEHT’S.","FORSE IN UN’ALTRA VITA, RAGAZZO… ANDIAMO.","たぶん来世だな、坊主…さあ行くぞ。","아마 다음 생에나 가능하겠지, 아들아… 계속 가자.","MOŻE W NASTĘPNYM ŻYCIU, SYNKU… IDZIEMY DALEJ.","TALVEZ EM OUTRA VIDA, MEU GAROTO… VAMOS.","МОЖЕТ, В ДРУГОЙ ЖИЗНИ, СЫН… ПОШЛИ.","TAL VEZ EN OTRA VIDA, CHICO… SIGAMOS.","BELKİ BAŞKA BİR HAYATTA OĞLUM… DEVAM EDELİM."
"Dialog.Cengiz_2_3_1",5568554356736,"我靠，那是他吗？他在这里干什么？","WHAT THE HELL, IS THAT HIM? WHAT THE HELL IS HE DOING HERE?","C’EST QUOI CE BORDEL, C’EST LUI ? QU’EST-CE QU’IL FOUT ICI ?","WAS ZUR HÖLLE, IST DAS ER? WAS MACHT ER VERDAMMT NOCHMAL HIER?","MA CHE DIAVOLO, È LUI? CHE CI FA QUI?","なんだよあれ…あいつか？ここで何してんだ？","뭐야 저게… 진짜 그놈 맞냐? 여기서 뭐 하는 거지?","CO JEST DO CHOLERY, TO ON? CO ON TU ROBI?","QUE PORRA… É ELE MESMO? O QUE ESSE DESGRAÇADO TÁ FAZENDO AQUI?","КАКОГО ЧЁРТА… ЭТО ОН? ЧТО ОН ЗДЕСЬ ДЕЛАЕТ?","¿QUÉ MIERDA? ¿ES ÉL? ¿QUÉ CARAJOS HACE AQUÍ?","NE OLUYOR LAN, O MU? BURADA NE BOK YAPIYOR?"
"Dialog.Hulagu_2_3_1",5720891478016,"他是我从很远的地方弄来的特别嘉宾…总得有人干这事。怎么？你不喜欢他的嘴吗？","HE IS A SPECIAL GUEST I IMPORTED FROM FAR FAR AWAY… SOMEBODY HAD TO DO IT YOU KNOW. WHAT’S THE MATTER? YOU DIDN’T LIKE HIS MOUTH?","C’EST UN INVITÉ SPÉCIAL QUE J’AI RAMENÉ DE TRÈS LOIN… FALLAIT BIEN QUE QUELQU’UN LE FASSE. QUOI ? SA GUEULE TE PLAÎT PAS ?","ER IST EIN SPEZIALGAST, DEN ICH AUS DER FERNE GEHOLT HABE… IRGENDWER MUSSTE ES TUN. WAS IST LOS? MAGST DU SEIN MAUL NICHT?","È UN OSPITE SPECIALE CHE HO PORTATO DA MOLTO LONTANO… QUALCUNO DOVEVA FARLO. CHE C’È? NON TI PIACE LA SUA BOCCA?","はるばる連れてきた特別ゲストだぞ…誰かがやらなきゃならなかったんだよ。どうした？あいつの口が気に入らねぇのか？","멀리서 데려온 특별 손님이다… 누군가는 해야 했지. 왜? 그놈 입이 마음에 안 들어?","TO SPECJALNY GOŚĆ, ŚCIĄGNĄŁEM GO Z BARDZO DALEKA… CO JEST? NIE PODOBA CI SIĘ JEGO MORDa?","É UM CONVIDADO ESPECIAL QUE EU TROUXE DE MUITO LONGE… QUAL É? NÃO GOSTOU DA BOCA DELE?","ОН — ОСОБЫЙ ГОСТЬ, Я ПРИВЁЛ ЕГО ИЗ ДАЛЁКА… ЧТО ТАКОЕ? ТЕБЕ ЕГО МОРДА НЕ НРАВИТСЯ?","ES UN INVITADO ESPECIAL QUE TRAJE DE MUY LEJOS… ¿QUÉ PASA? ¿NO TE GUSTA SU BOCA?","ÇOK UZAKTAN GETİRDİĞİM ÖZEL BİR MİSAFİR… NE OLDU? AĞZINI MI SEVMEDİN?"
"Dialog.Cengiz_2_3_2",14139631357952,"我要把他打成碎片。","I’M GONNA BREAK HIM DOWN INTO SMALL PIECES.","JE VAIS LE RÉDUIRE EN PETITS MORCEAUX.","ICH MACH IHN IN KLEINE STÜCKE.","LO FACCIO A PEZZETTINI.","細かくバラしてやる。","잘게 조각내 버릴 거다.","ROZPIERDOLĘ GO NA MAŁE KAWAŁKI.","VOU QUEBRAR ESSE DESGRAÇADO EM PEDAÇOS.","Я РАЗНЕСУ ЕГО НА КУСОЧКИ.","LO VOY A ROMPER EN PEDACITOS.","PARÇALARA AYIRACAĞIM ONU."
"Dialog.Hulagu_2_3_2",14411661332480,"把场面弄得乱七八糟！","MAKE IT MESSY!","FAIS ÇA BIEN SALE !","MACH’S RICHTIG DRECKIG!","FALLA UN BEL CASINO!","派手にやれ！","지저분하게 만들어라!","ZRÓB Z NIEGO BAJZEL!","FAZ UMA BAGUNÇA DA BOA!","СДЕЛАЙ ЭТО ГРЯЗНО!","¡QUE QUEDE HECHO UN DESMADRE!","PİS OLSUN... "
"Dialog.TheAnimal_2_4_1",14642280943616,"你以为空手就能杀了一个传奇？你他妈以为你是谁？","YOU THOUGHT YOU CAN KILL A LEGEND WITH YOUR BARE FISTS? WHO THE HELL DO YOU THINK YOU ARE?","TU CROYAIS QUE TU POUVAIS BUTER UNE LÉGENDE À MAINS NUES ? TU TE PRENDS POUR QUI PUTAIN ?","DU DACHTEST, DU KANNST EINE LEGENDE MIT BLOSSEN FÄUSTEN TÖTEN? FÜR WEN ZUR HÖLLE HÄLTST DU DICH?","CREDEVI DI UCCIDERE UNA LEGGENDA A MANI NUDE? CHI CAZZO TI CREDI DI ESSERE?","素手で伝説を殺せると思ったのか？自分を誰だと思ってんだ？","맨손으로 전설을 죽일 수 있다고 생각했냐? 네가 누군데?","MYŚLAŁEŚ, ŻE GOŁYMI PIĘŚCIAMI ZABIJESZ LEGENDĘ? ZA KOGO SIĘ UWAŻASZ?","ACHOU QUE IA MATAR UMA LENDA COM AS MÃOS NUAS? QUEM DIABOS TU PENSA QUE É?","ТЫ ДУМАЛ, МОЖЕШЬ УБИТЬ ЛЕГЕНДУ ГОЛЫМИ РУКАМИ? КЕМ ТЫ, ЧЁРТ ВОЗЬМИ, СЕБЯ СЧИТАЕШЬ?","¿DE VERDAD CREÍSTE QUE PODÍAS MATAR A UNA LEYENDA A PUÑOS? ¿QUIÉN CARAJOS TE CREES?","ÇIPLAK ELLERİNLE BİR EFSANEYİ ÖLDÜREBİLECEĞİNİ Mİ SANDIN? KİM KÖPEKSİN SEN?"
"Dialog.Cengiz_2_4_1",15136302845952,"我甚至不知道我是谁了，但我会揍你到你永远闭嘴，你那把刀我也有计划。","I’M NOT EVEN SURE WHO I AM ANYMORE, BUT I WILL BEAT YOU UNTIL YOU CAN’T TALK CRAP AGAIN, AND I HAVE PLANS FOR YOUR KNIFE TOO.","JE SAIS MÊME PLUS QUI JE SUIS, MAIS JE VAIS TE DÉMONTER JUSQU’À CE QUE TU PARLES PLUS, ET J’AI DES PROJETS POUR TON COUTEAU.","ICH HAB KEINE AHNUNG MEHR, WER ICH BIN, ABER ICH MACH DICH SO FERTIG, DASS DU NIE WIEDER SCHEISSE REDEN KANNST. UND DEIN MESSER NEHM ICH AUCH.","NON SO PIÙ CHI SONO, MA TI ROMPO FINCHÉ NON LA SMETTI DI DIRE STRONZATE, E HO DEI PIANI PER IL TUO COLTELLO.","俺が誰かなんてもうわかんねぇが、お前が二度とクソ言えねぇように叩き潰してやる。それにお前のナイフも使い道がある。","내가 누군지는 모르겠지만… 다시는 개소리 못 하게 만들어주지. 그리고 네 칼도 쓸 데가 있어.","NIE WIEM JUŻ, KIM JESTEM, ALE SKOPIĘ CI DUPĘ TAK, ŻE JUŻ GÓWNA NIE WYDUSISZ. A NA TWÓJ NÓŻ TEŻ MAM PLANY.","NÃO SEI MAIS QUEM EU SOU, MAS VOU TE QUEBRAR ATÉ PARAR DE FALAR MERDA. E TUA FACA TAMBÉM TEM USO.","УЖЕ НЕ ЗНАЮ, КТО Я, НО Я ТЕБЯ РАЗНЕСУ ТАК, ЧТО ТЫ НИ ХРЕНА БОЛЬШЕ НЕ СКАЖЕШЬ. И НОЖ ТВОЙ МНЕ ТОЖЕ ПРИГОДИТСЯ.","YA NO SÉ NI QUIÉN SOY, PERO TE VOY A PARTIR HASTA QUE NO PUEDAS SOLTAR MÁS MIERDA, Y TAMBIÉN TENGO PLANES PARA TU CUCHILLO.","LAN BEN KİM OLDUĞUMU BİLMİYOR MUYUM ?... SENİ BİR DAHA BOK KONUŞAMAYACAK HALE GETİRECEĞİM. BIÇAĞIN İÇİN DE BİR PLANIM VAR."
"Dialog.Hulagu_2_4_1",15625966866432,"哦天哪，他居然还能说话。孩子，你真让我失望。","OH MY GOD HE CAN STILL SPEAK, SON YOU ARE DISAPPOINTING ME.","OH MON DIEU, IL PARLE ENCORE… TU ME DÉÇOIS, MON GARÇON.","OH MEIN GOTT, ER REDET IMMER NOCH… DU ENTTÄUSCHST MICH, JUNGE.","OH MIO DIO, STA ANCORA PARLANDO… MI DELUDI, RAGAZZO MIO.","まだ喋ってやがる…ほんとガッカリだぞ、坊主。","아직도 떠들고 있네… 진짜 실망이다, 아들아.","WCIĄŻ GADA… ROZCZAROWUJESZ MNIE, SYNKU.","MEU DEUS, ELE AINDA TÁ FALANDO… TU ME DECEPCIONA, MOLEQUE.","ОН ВСЁ ЕЩЁ ГОВОРИТ… ТЫ РАЗОЧАРОВЫВАЕШЬ МЕНЯ, СЫН.","AHÍ SIGUE HABLANDO… ME DECEPCIONAS, CHICO.","AMAN TANRIM, HÂLÂ KONUŞUYOR… OĞLUM, BENİ HAYAL KIRIKLIĞINA UĞRATIYORSUN."
"Dialog.Cengiz_2_4_2",15865344184320,"别急，我马上让他说不出话。","NO WORRIES, I’M GONNA FIX THAT REAL QUICK.","PAS DE SOUCIS, JE VAIS RÉGLER ÇA TRÈS VITE.","KEINE SORGE, ICH ERLEDIGE DAS GLEICH.","NESSUN PROBLEMA, LO SISTEMO SUBITO.","心配すんな、すぐ黙らせてやるよ。","걱정 마, 금방 입 다물게 해줄게.","SPOKO, ZARAZ GO UCISZĘ.","RELAXA, EU CALO ELE AGORA MESMO.","НЕ ПЕРЕЖИВАЙ, Я ЕГО БЫСТРО ЗАТКНУ.","NO TE PREOCUPES, AHORITA LO HAGO CALLAR.","MERAK ETME, ONU HEMEN SUSTURACAĞIM."
"Dialog.TheAnimal_2_5_1",17127070519296,"啊啊啊…你怎么能碰到我？你怎么能打败我？我是永恒的！","AAAAAH… HOW CAN YOU EVEN TOUCH ME? HOW CAN YOU BEAT ME? I AM ETERNAL!","AAAAAH… COMMENT TU PEUX ME TOUCHER ? COMMENT TU PEUX ME BATTRE ? JE SUIS ÉTERNEL !","AAAAH… WIE KANNST DU MICH BERÜHREN? WIE KANNST DU MICH SCHLAGEN? ICH BIN EWIG!","AAAAH… COME DIAVOLO PUOI TOCCARMI? COME PUOI BATTERMI? IO SONO ETERNO!","ああああ…なんで触れんだよ！？どうやって俺に勝つんだ？俺は永遠だぞ！","아아아… 어떻게 나한테 손을 댄 거지? 날 어떻게 이긴 거야? 난 영원한 존재다!","AAAAH… JAK MOŻESZ MNIE DOTKNĄĆ? JAK MOŻESZ MNIE POKONAĆ? JESTEM WIECZNY!","AAAAH… COMO VOCÊ CONSEGUE ME TOCAR? COMO ME VENCE? EU SOU ETERNO!","ААААХ… КАК ТЫ МОЖЕШЬ МЕНЯ КАСАТЬСЯ? КАК ТЫ МОЖЕШЬ МЕНЯ ПОБЕДИТЬ? Я ВЕЧЕН!","AAAAH… ¿CÓMO ME TOCAS? ¿CÓMO ME GANAS? ¡SOY ETERNO!","AAAAH… BANA NASIL DOKUNABİLİYORSUN? NASIL YENİYORSUN BENİ? BEN ÖLÜMSÜZÜM!"
"Dialog.Hulagu_2_5_1",17401109565440,"他还在说话！","HE IS STILL SPEAKING!","IL PARLE ENCORE !","ER REDET IMMER NOCH!","STA ANCORA PARLANDO!","まだ喋ってるぞ！","아직도 떠들고 있네!","DALEJ GADA!","ELE AINDA TÁ FALANDO!","ОН ВСЁ ЕЩЁ ГОВОРИТ!","¡SIGUE HABLANDO!","HÂLÂ KONUŞUYOR!"
"Dialog.Cengiz_2_5_1",17623307014144,"不不不，他的嘴在抽搐。","NO NO NO, HIS MOUTH IS TWITCHING.","NON NON NON, SA GUEULE TREMBLE.","NEIN NEIN NEIN, SEIN MAUL ZUCKT.","NO NO NO, LA SUA BOCCA STA TREMANDO.","いやいやいや、口がピクピクしてるだけだ。","아니 아니 아니, 입이 떨리고 있을 뿐이야.","NIE NIE NIE, JEGO MORDa DRGA.","NÃO NÃO NÃO, A BOCA DELE TÁ PISCANDO.","НЕТ НЕТ НЕТ, У НЕГО РОТ ДЁРГАЕТСЯ.","NO NO NO, SU BOCA ESTÁ TEMBLANDO.","HAYIR HAYIR HAYIR, AĞZI SEĞİRİYOR."
